证券代码,证券简称,公司名称,到期日期
155288.SH,19成大01,辽宁成大股份有限公司,20220408
101753005.IB,17今世缘MTN001,今世缘集团有限公司,20220417
1580123.IB,15梅州金叶债,梅州市新金叶发展公司,20220422
031900362.IB,19汉当科PPN001,武汉当代科技产业集团股份有限公司,20220422
101900582.IB,19靖江港MTN001,靖江港口集团有限公司,20220422
101556009.IB,15津城建MTN001,天津城市基础设施建设投资集团有限公司,20220423
163777.SH,20津保Y3,天津保税区投资控股集团有限公司,20220424
101762029.IB,17淮南城投MTN001,淮南市城市建设投资有限责任公司,20220425
101900626.IB,19吉利MTN001,浙江吉利控股集团有限公司,20220426
127185.SH,PR绍城债,绍兴市城中村改造建设投资有限公司,20220427
143103.SH,17云投G1,云南省城市建设投资集团有限公司,20220428
127212.SH,PR黄城债,黄石市城市建设投资开发有限责任公司,20220429
127157.SH,PR石城投,石狮市城市建设有限公司,20220504
136329.SH,16国美03,国美电器有限公司,20220510
101900149.IB,19新海连MTN001,江苏新海连发展集团有限公司,20220515
101900717.IB,19乌高新MTN001,乌鲁木齐高新投资发展集团有限公司,20220516
114486.SZ,19新沂债,新沂市交通投资有限公司,20220523
101780003.IB,17幸福基业MTN001,华夏幸福基业股份有限公司,20220523
1580158.IB,15邯郸建投债,邯郸市建设投资集团有限公司,20220527
101900758.IB,19环球租赁MTN001,中国环球租赁有限公司,20220605
101900760.IB,19平煤化MTN004,中国平煤神马能源化工集团有限责任公司,20220605
101900766.IB,19山煤MTN001,山西煤炭进出口集团有限公司,20220606
101765001.IB,17乌城投MTN001,乌鲁木齐城市建设投资(集团)有限公司,20220609
101900802.IB,19沪纺织MTN001,上海纺织(集团)有限公司,20220617
155456.SH,19南山03,南山集团有限公司,20220618
114177.SZ,17远东二,远东国际融资租赁有限公司,20220619
155480.SH,G19天成1,华能天成融资租赁有限公司,20220620
101764013.IB,17焦作投资MTN001,焦作市投资集团有限公司,20220620
101755014.IB,17清远德晟MTN001,清远市德晟投资集团有限公司,20220622
031900526.IB,19淮安新城PPN004,淮安新城投资开发有限公司,20220626
031900538.IB,19下城投PPN001,杭州市下城区城市建设投资发展集团有限公司,20220705
122393.SH,15恒大03,恒大地产集团有限公司,20220708
101900908.IB,19津城建MTN006,天津城市基础设施建设投资集团有限公司,20220712
031763012.IB,17乌城投PPN001,乌鲁木齐城市建设投资(集团)有限公司,20220719
101900964.IB,19桂铁投MTN001,广西铁路投资集团有限公司,20220719
101773010.IB,17惠民建投MTN002,济宁市兖州区惠民城建投资有限公司,20220720
101763011.IB,17长发集团MTN002,长春市城市发展投资控股(集团)有限公司,20220724
1680304.IB,16金湖债,金湖县国有资产经营投资有限责任公司,20220726
112557.SZ,17冀中01,冀中能源股份有限公司,20220726
1580195.IB,15徐州新盛债,徐州市新盛投资控股集团有限公司,20220812
127249.SH,PR丽水债,丽水市城市建设发展有限公司,20220813
114544.SZ,19中金01,中天金融集团股份有限公司,20220816
101901103.IB,19怡亚通MTN002,深圳市怡亚通供应链股份有限公司,20220820
112570.SZ,17晨债01,山东晨鸣纸业集团股份有限公司,20220821
101901112.IB,19苏国泰MTN001,江苏国泰国际贸易有限公司,20220821
101901163.IB,19昆山创业MTN002,昆山创业控股集团有限公司,20220827
101901168.IB,19中化工MTN003,中国化工集团有限公司,20220828
143265.SH,17泰达02,天津泰达投资控股有限公司,20220830
1580214.IB,15江油债,江油鸿飞投资(集团)有限公司,20220902
031679011.IB,16淮北建投PPN002,淮北市建投控股集团有限公司,20220902
112585.SZ,17桂建01,广西建工集团有限责任公司,20220915
101773019.IB,17北辰实业MTN001,北京北辰实业股份有限公司,20220920
143210.SH,17合盛01,合盛硅业股份有限公司,20220922
127290.SH,PR伊国投,伊宁市国有资产投资经营(集团)有限责任公司,20220924
031763018.IB,17绵阳投资PPN001,绵阳市投资控股(集团)有限公司,20220927
101901344.IB,19七匹狼MTN001,福建七匹狼集团有限公司,20221015
031900783.IB,19汉当科PPN002,武汉当代科技产业集团股份有限公司,20221024
101775009.IB,17文投MTN001,文投控股股份有限公司,20221026
143896.SH,18新控05,新城控股集团股份有限公司,20221029
101901461.IB,19宿迁产业MTN001,宿迁产业发展集团有限公司,20221029
031780004.IB,17榆林城投PPN002,榆林市城市投资经营集团有限公司,20221101
101769001.IB,17桑德MTN001,启迪环境科技发展股份有限公司,20221101
127287.SH,PR芜新投,芜湖新马投资有限公司,20221104
155138.SH,19联想01,联想控股股份有限公司,20221105
101900053.IB,19南京钢铁MTN001,南京钢铁股份有限公司,20221108
1580259.IB,15河池债,河池市城市投资建设发展有限公司,20221113
101901559.IB,19吉安井开MTN002,吉安市井冈山开发区金庐陵经济发展有限公司,20221114
124056.SH,PR启国投,启东国有资产投资控股有限公司,20221120
101769025.IB,17晋路桥MTN002,山西路桥建设集团有限公司,20221129
163025.SH,19花样02,花样年集团(中国)有限公司,20221129
101900072.IB,19杭州日报MTN001,杭州日报报业集团有限公司,20221201
127095.SH,PR湘九债,湘潭九华经济建设投资有限公司,20221201
112498.SZ,17万集01,万达集团股份有限公司,20221204
031900088.IB,19孝感城投PPN002,孝感市城市建设投资公司,20221205
127323.SH,PR海资债,泰州海陵城市发展集团有限公司,20221214
175022.SH,20中瑞01,郑州中瑞实业集团有限公司,20221215
101901724.IB,19建德国资MTN001,建德市国有资产经营有限公司,20221220
127350.SH,PR浙滨债,浙江滨海新城开发投资有限公司,20221223
114641.SZ,19潍坊Y1,潍坊市城市建设发展投资集团有限公司,20221223
101901748.IB,19海淀国资MTN003,北京市海淀区国有资本经营管理中心,20221225
101764082.IB,17江北国资MTN002,南京大江北国资投资集团有限公司,20221229
124126.SH,PR柳城投,柳州市城市投资建设发展有限公司,20221231
102002362.IB,20中铁股MTN006,中国中铁股份有限公司,20221231
101800003.IB,18常城建MTN001,常州市城市建设(集团)有限公司,20230105
102000013.IB,20凤凰传媒MTN001,江苏凤凰出版传媒集团有限公司,20230107
149021.SZ,20恒大01,恒大地产集团有限公司,20230108
149019.SZ,20冀峰01,冀中能源峰峰集团有限公司,20230109
102000090.IB,20美凯龙MTN001,红星美凯龙家居集团股份有限公司,20230120
127374.SH,PR六盘水,六盘水市开发投资有限公司,20230120
101800081.IB,18海国鑫泰MTN001,北京市海淀区国有资产投资集团有限公司,20230201
102000107.IB,20宁夏国资MTN001,宁夏国有资本运营集团有限责任公司,20230205
102000140.IB,20苏沙钢MTN002,江苏沙钢集团有限公司,20230220
101800137.IB,18慈溪国资MTN001,慈溪市国有资产投资控股有限公司,20230302
102000234.IB,20新中泰MTN001,新疆中泰化学股份有限公司,20230305
102000281.IB,20海淀国资MTN001,北京市海淀区国有资本经营管理中心,20230306
1680082.IB,16建安债,建安投资控股集团有限公司,20230308
163259.SH,20红美01,红星美凯龙家居集团股份有限公司,20230310
032000051.IB,20景德城投PPN001,景德镇市城市建设投资集团有限责任公司,20230318
102000381.IB,20武夷投资MTN001,南平武夷新区投资开发集团有限公司,20230318
102000386.IB,20新投MTN001,新疆投资发展(集团)有限责任公司,20230318
127412.SH,PR鸠江债,芜湖市鸠江建设投资有限公司,20230321
127413.SH,PR皋交投,如皋市交通产业集团有限公司,20230323
102000449.IB,20娄底城投MTN001,娄底市城市发展集团有限公司,20230324
101800295.IB,18萧山钱江MTN002,杭州萧山钱江世纪城开发建设有限责任公司,20230326
102000496.IB,20长城科技MTN001,中国长城科技集团股份有限公司,20230326
102000513.IB,20光明房产MTN002,光明房地产集团股份有限公司,20230327
032000289.IB,20郴投集团PPN002,郴州市发展投资集团有限公司,20230327
101800327.IB,18常城建MTN003,常州市城市建设(集团)有限公司,20230329
127415.SH,PR三明交,三明市交通建设发展集团有限公司,20230329
136361.SH,16富力05,广州富力地产股份有限公司,20230407
127420.SH,PR渝开债,重庆经开区开发建设有限公司,20230413
102000631.IB,20粤珠江MTN002,广州珠江实业集团有限公司,20230413
1680157.IB,16仁怀城投债,仁怀市城市开发建设投资经营有限责任公司,20230414
102000728.IB,20大连万达MTN001,大连万达商业管理集团股份有限公司,20230417
122249.SH,13平煤债,平顶山天安煤业股份有限公司,20230417
143578.SH,18南山02,南山集团有限公司,20230419
1680206.IB,16渝迈瑞债,重庆迈瑞城市建设投资有限责任公司,20230421
102000788.IB,20驻马店投MTN001,驻马店市城乡建设投资集团有限公司,20230422
102000789.IB,20鞍钢MTN002,鞍山钢铁集团有限公司,20230424
101800462.IB,18上虞国资MTN001,绍兴市上虞区国有资本投资运营有限公司,20230424
102000820.IB,20中化工MTN009A,中国化工集团有限公司,20230424
031800291.IB,18新城控股PPN002,新城控股集团股份有限公司,20230427
101660041.IB,16龙城投资MTN001,太原市龙城发展投资集团有限公司,20230428
032000427.IB,20安阳投资PPN001,安阳投资集团有限公司,20230430
102000909.IB,20新奥控股MTN001,新奥控股投资股份有限公司,20230430
155406.SH,19恒大01,恒大地产集团有限公司,20230506
101800605.IB,18芜湖建设MTN001,芜湖市建设投资有限公司,20230507
032000447.IB,20漯河城投PPN001,漯河市城市投资控股集团有限公司,20230507
101800611.IB,18北部湾MTN001,广西北部湾国际港务集团有限公司,20230508
155404.SH,19富力01,广州富力地产股份有限公司,20230509
114473.SZ,19苏电03,苏宁电器集团有限公司,20230510
101800626.IB,18南通经开MTN002,南通经济技术开发区控股集团有限公司,20230516
1680243.IB,16湘乡城建债,湘乡市城市建设投资开发有限公司,20230518
101564014.IB,15青国投MTN001,青海省国有资产投资管理有限公司,20230521
112708.SZ,18国微01,紫光国芯微电子股份有限公司,20230521
1680244.IB,16浏阳城建债,浏阳市城市建设集团有限公司,20230524
102001069.IB,20晋煤MTN005,山西晋城无烟煤矿业集团有限责任公司,20230526
102001111.IB,20中节能MTN002,中国节能环保集团有限公司,20230601
102001114.IB,20大连万达MTN002,大连万达商业管理集团股份有限公司,20230603
114765.SZ,20金鑫01,淮安市金鑫投资有限公司,20230605
1680152.IB,16磁湖高新债01,黄石磁湖高新科技发展公司,20230608
155458.SH,19红美02,红星美凯龙家居集团股份有限公司,20230610
112721.SZ,18苏宁03,苏宁易购集团股份有限公司,20230615
032000554.IB,20榆林城投PPN001,榆林市城市投资经营集团有限公司,20230624
114506.SZ,19中南02,江苏中南建设集团股份有限公司,20230627
032000585.IB,20零陵城建PPN001,永州市零陵城建投资有限公司,20230629
102001298.IB,20江阴城投MTN001,江阴城市建设投资有限公司,20230630
1680276.IB,16岳云债01,岳阳市云溪区城市建设投资有限责任公司,20230708
102001344.IB,20大连万达MTN003,大连万达商业管理集团股份有限公司,20230710
136491.SH,16红美02,红星美凯龙家居集团股份有限公司,20230713
102001354.IB,20台州国资MTN001,台州市国有资本运营集团有限公司,20230714
102001221.IB,20阳煤MTN006,阳泉煤业(集团)有限责任公司,20230717
1680290.IB,16安顺国资债,安顺市国有资产管理有限公司,20230718
102001392.IB,20天宁建设MTN002,常州天宁建设发展集团有限公司,20230722
101800808.IB,18衡阳城投MTN003,衡阳市城市建设投资有限公司,20230726
1680202.IB,16万宝开投债02,娄底市万宝新区开发投资集团有限公司,20230801
101800833.IB,18镇海投资MTN001,宁波市镇海投资有限公司,20230803
101800843.IB,18合川城投MTN001,重庆市合川城市建设投资(集团)有限公司,20230806
102001468.IB,20红豆MTN002,红豆集团有限公司,20230806
102001474.IB,20潞安MTN005,山西潞安矿业(集团)有限责任公司,20230807
2022028.IB,20工银租赁债01,工银金融租赁有限公司,20230810
102001519.IB,20义乌国资MTN004,义乌市国有资本运营有限公司,20230813
102001518.IB,20新盛投资MTN001,扬州新盛投资发展有限公司,20230813
102001538.IB,20怡亚通MTN001,深圳市怡亚通供应链股份有限公司,20230814
102001536.IB,20厦港务MTN004,厦门港务控股集团有限公司,20230814
101800883.IB,18江岸国资MTN001,武汉市江岸国有资产经营管理有限责任公司,20230814
102001530.IB,20光明房产MTN003,光明房地产集团股份有限公司,20230814
143750.SH,18云城02,云南省城市建设投资集团有限公司,20230815
127450.SH,PR16晋城,福建省晋江城市建设投资开发集团有限责任公司,20230824
102001619.IB,20三明交建MTN001,三明市交通建设发展集团有限公司,20230826
102001639.IB,20南安市贸MTN001,南安市贸工农投资经营有限公司,20230826
1680191.IB,16渝新梁债,重庆新梁投资开发(集团)有限公司,20230826
102001674.IB,20中建八局MTN002,中国建筑第八工程局有限公司,20230828
1680346.IB,16大冶城投02,大冶市振恒城市发展投资有限公司,20230831
032000776.IB,20张家经投PPN001,张家界市经济发展投资集团有限公司,20230902
1680354.IB,16建安01,建安投资控股集团有限公司,20230905
1680350.IB,16湘乡双创债,湘乡市经济开发区建设投资开发有限公司,20230909
102001762.IB,20首机场股MTN001,北京首都国际机场股份有限公司,20230911
127458.SH,PR济市中,济宁市市中区城建投资有限公司,20230914
102001766.IB,20宿迁经开MTN001,宿迁市经济开发总公司,20230914
102001784.IB,20苏交通MTN005,江苏交通控股有限公司,20230916
032000811.IB,20黄石众邦PPN001,黄石市众邦城市住房投资有限公司,20230917
114767.SZ,20任城01,山东任城融鑫发展有限公司,20230918
101801106.IB,18豫能化MTN003,河南能源化工集团有限公司,20230920
102001802.IB,20晋煤MTN015,山西晋城无烟煤矿业集团有限责任公司,20230921
102001835.IB,20赣高速MTN003,江西省高速公路投资集团有限责任公司,20230925
102001905.IB,20新海连MTN002,江苏新海连发展集团有限公司,20231016
1680404.IB,16杭运河专项债,杭州市运河综合保护开发建设集团有限责任公司,20231017
112457.SZ,16魏桥05,山东魏桥铝电有限公司,20231017
114388.SZ,18阳煤02,阳泉煤业(集团)有限责任公司,20231019
102001916.IB,20荆楚文化MTN001,荆楚文化产业投资集团有限公司,20231019
102001947.IB,20浙交投MTN001,浙江省交通投资集团有限公司,20231021
102001982.IB,20长发集团MTN004,长春市城市发展投资控股(集团)有限公司,20231026
102002052.IB,20联发集MTN001,联发集团有限公司,20231102
102002048.IB,20长沙水业MTN001,长沙水业集团有限公司,20231102
102000043.IB,20申迪MTN001,上海申迪(集团)有限公司,20231103
102002066.IB,20汇金MTN010A,中央汇金投资有限责任公司,20231103
102000041.IB,20南京旅游MTN001,南京旅游集团有限责任公司,20231103
102000037.IB,20赣国资MTN001,江西省省属国有企业资产经营(控股)有限公司,20231103
101801280.IB,18谷财MTN003,北京市谷财集团有限公司,20231105
102002104.IB,20中交四局MTN001B,中交第四公路工程局有限公司,20231106
032000042.IB,20临海基投PPN001,临海市基础设施投资有限公司,20231106
102000077.IB,20凯盛科技MTN001,凯盛科技集团有限公司,20231107
127377.SH,PR黄冈债,黄冈市城市建设投资有限公司,20231108
1680003.IB,16新沂债,新沂市城市投资发展有限公司,20231109
032000068.IB,20沪世茂PPN001,上海世茂股份有限公司,20231109
102002133.IB,20盐城资产MTN001,盐城市城市资产经营有限公司,20231112
101801318.IB,18滨建投MTN001,天津滨海新区建设投资集团有限公司,20231115
1680430.IB,16东台国资债,东台市国有资产经营有限公司,20231116
112800.SZ,18苏宁07,苏宁易购集团股份有限公司,20231116
102002156.IB,20联发集MTN002,联发集团有限公司,20231117
2022050.IB,20洛银租赁债,洛银金融租赁股份有限公司,20231126
127384.SH,PR开福01,长沙开福城市建设投资有限公司,20231201
127388.SH,PR瓯专项,浙江瓯海城市建设投资集团有限公司,20231201
118470.SZ,16融地01,融创房地产集团有限公司,20231202
102002221.IB,20德泰MTN002,大连德泰控股有限公司,20231202
127380.SH,PR阿勒泰,阿勒泰地区国有资产投资经营有限公司,20231202
155060.SH,18联想03,联想控股股份有限公司,20231203
127386.SH,PR丹投资,丹阳投资集团有限公司,20231205
102002246.IB,20粤珠江MTN003,广州珠江实业集团有限公司,20231207
1680041.IB,16雨花城投债,长沙市雨花城市建设投资集团有限公司,20231208
102002266.IB,20冀交投MTN004,河北交通投资集团公司,20231209
102002265.IB,20晋江国资MTN004,晋江市国有资本投资运营有限责任公司,20231209
101801448.IB,18海尔金控MTN001,海尔集团(青岛)金融控股有限公司,20231210
102002298.IB,20川交投MTN002,四川省交通投资集团有限责任公司,20231215
102002312.IB,20信达地产MTN003,信达地产股份有限公司,20231217
114881.SZ,20任城04,山东任城融鑫发展有限公司,20231217
101801532.IB,18海淀国资MTN003,北京市海淀区国有资本经营管理中心,20231221
101900013.IB,19株国投MTN001,株洲市国有资产投资控股集团有限公司,20240108
031900134.IB,19华靖资产PPN001,江苏华靖资产经营有限公司,20240201
102100261.IB,21淮安开发MTN001,淮安开发控股有限公司,20240209
102100292.IB,21南电MTN001,中国南方电网有限责任公司,20240225
155194.SH,19泰达01,天津泰达投资控股有限公司,20240226
102100300.IB,21武金控MTN001,武汉金融控股(集团)有限公司,20240226
124575.SH,PR汕投资,汕头市投融资集团有限公司,20240304
